Sample ID,Duplicated,Duplicate_ID,Box_Location,Sample_Site,Sample_Location,Type,Depth,Sample_Date,DNA_Extraction,Extraction_Weight (g),DNA_conc_ng_uL,Total_DNA,Redo,K-State_ID,pH,Buffer_pH,TN_perc,TC_perc,OM_perc,K_mg_kg,S_mg_kg,P_mg_kg,Sand_perc,Silt_perc,Clay_perc,NO3_mg_kg,NH4_mg_kg
RGo C7 B,Yes,A,22,RGO,C7,Soil,10-15 cm,2-Sep-22,18-Apr-23,0.25,8.8,862.4,Yes,308453,6.3,6.8,0.18,1.97,3.84,91.6,23.1,8.2,24,56,20,7.19,1.06
RGo C8 T,Yes,A,23,RGO,C8,Soil,0-5 cm,2-Sep-22,18-Apr-23,0.244,36.8,3606.4,No,308454,7.3,7.2,0.24,2.59,4.7,106.3,69.7,8.6,22,51,27,7.6,2.62
RGo C8 B,Yes,A,24,RGO,C8,Soil,10-15 cm,2-Sep-22,18-Apr-23,0.242,22,2156,No,308454,7.3,7.2,0.24,2.59,4.7,106.3,69.7,8.6,22,51,27,7.6,2.62
RGo D10 T,Yes,A,25,RGO,D10,Soil,0-5 cm,2-Sep-22,18-Apr-23,0.253,19.9,1950.2,No,308456,7.3,7.2,0.2,1.85,3.57,114.9,46,7.6,20,53,27,8.49,1.49
RGo D10 B,Yes,A,26,RGO,D10,Soil,10-15 cm,2-Sep-22,18-Apr-23,0.249,12.2,1195.6,No,308456,7.3,7.2,0.2,1.85,3.57,114.9,46,7.6,20,53,27,8.49,1.49
RGo D10-2,Yes,A,27,RGO,D10,Soil,0-15 cm,2-Sep-22,18-Apr-23,0.243,5.68,556.64,Yes,308457,8.1,7.4,0.11,0.64,1.76,112.1,27.6,4,17,53,30,4,1
RGo B6 T,Yes,B,28,RGO,B6,,,2-Sep-22,No,,,,,308452,6.5,6.8,0.14,1.2,2.74,78.2,20.6,4.1,34,45,21,6.52,1.25
RGo B6 B,Yes,B,29,RGO,B6,,,2-Sep-22,No,,,,,308452,6.5,6.8,0.14,1.2,2.74,78.2,20.6,4.1,34,45,21,6.52,1.25
RGo C7 T,Yes,B,30,RGO,C7,,,2-Sep-22,No,,,,,308453,6.3,6.8,0.18,1.97,3.84,91.6,23.1,8.2,24,56,20,7.19,1.06
RGo C7 B,Yes,B,31,RGO,C7,,,2-Sep-22,No,,,,,308453,6.3,6.8,0.18,1.97,3.84,91.6,23.1,8.2,24,56,20,7.19,1.06
RGo C8 T,Yes,B,32,RGO,C8,,,2-Sep-22,No,,,,,308454,7.3,7.2,0.24,2.59,4.7,106.3,69.7,8.6,22,51,27,7.6,2.62
RGo C8 B,Yes,B,33,RGO,C8,,,2-Sep-22,No,,,,,308454,7.3,7.2,0.24,2.59,4.7,106.3,69.7,8.6,22,51,27,7.6,2.62
RGo D10 T,Yes,B,34,RGO,D10,,,2-Sep-22,No,,,,,308456,7.3,7.2,0.2,1.85,3.57,114.9,46,7.6,20,53,27,8.49,1.49
RGo D10 B,Yes,B,35,RGO,D10,,,2-Sep-22,No,,,,,308456,7.3,7.2,0.2,1.85,3.57,114.9,46,7.6,20,53,27,8.49,1.49
RGo D10-2,Yes,B,36,RGO,D10,,,2-Sep-22,No,,,,,308457,8.1,7.4,0.11,0.64,1.76,112.1,27.6,4,17,53,30,4,1
DS3 A7,Yes,A,37,DS3,A7,Soil,0-15 cm,18-Feb-23,18-Apr-23,0.242,20.8,2038.4,No,317675,7,6.8,1,20.43,37.1,37,132,21.5,40,45,15,6.1,16.9
DS3 A7,Yes,B,38,DS3,A7,,,18-Feb-23,No,,,,,317675,7,6.8,1,20.43,37.1,37,132,21.5,40,45,15,6.1,16.9
DS3 A9 T,Yes,C,39,DS3,A9,,,18-Feb-23,No,,,,,317676,5.8,6.2,0.74,15,26.5,88,512,37.9,29,48,23,2.8,12.5
DS3 B6,Yes,A,40,DS3,B6,Soil,0-15 cm,18-Feb-23,18-Apr-23,0.262,31.4,3077.2,No,317677,6.9,6.8,1.05,21.86,41.1,84,429,25.2,43,43,14,4.3,14
DG RS 09,Yes,A,41,Digester,9,Slurry,NA,,18-Apr-23,0.364,7.45,730.1,Yes,,,,,,,,,,,,,,
DG RS 09,Yes,B,42,Digester,9,,,,No,,,,,,,,,,,,,,,,,,
DG RS 05,No,NA,43,Digester,5,Slurry,NA,,18-Apr-23,0.374,3.81,373.38,Yes,,,,,,,,,,,,,,
DS3 A7,Yes,C,46,DS3,A7,,0-15 cm,18-Feb-23,No,,,,,317675,7,6.8,1,20.43,37.1,37,132,21.5,40,45,15,6.1,16.9
DS3 A7,Yes,D,47,DS3,A7,,0-15 cm,18-Feb-23,No,,,,,317675,7,6.8,1,20.43,37.1,37,132,21.5,40,45,15,6.1,16.9
DS3 A9 B,Yes,C,48,DS3,A9,,,18-Feb-23,No,,,,,317676,5.8,6.2,0.74,15,26.5,88,512,37.9,29,48,23,2.8,12.5
DS3 B6,Yes,B,49,DS3,B6,,,18-Feb-23,No,,,,,317677,6.9,6.8,1.05,21.86,41.1,84,429,25.2,43,43,14,4.3,14
DG RS 08,Yes,A,50,Digester,8,Slurry,NA,,18-Apr-23,0.371,5.45,534.1,Yes,,,,,,,,,,,,,,
DG RS 08,Yes,B,51,Digester,8,,,,No,,,,,,,,,,,,,,,,,,
DG RS 06,No,NA,52,Digester,6,Slurry,NA,,18-Apr-23,0.368,3.41,334.18,Yes,,,,,,,,,,,,,,
34 Bottom,No,NA,53,RGW,34,Soil,10-15 cm,22-Feb-23,18-Apr-23,0.243,3.39,332.22,Yes,317403,5.7,6.2,0.15,1.17,,276,54,35.8,6,38,56,0.5,9.3
34 W,No,NA,54,RGW,34,Water,NA,22-Feb-23,18-Apr-23,0.414,2.28,223.44,Yes,,,,,,,,,,,,,,
Way 3 05 Top,No,NA,55,HRC,5,Soil,0-5 cm,28-Feb-23,18-Apr-23,0.249,18.1,1773.8,No,317409,7.1,7,0.25,2.06,,252,81,23.8,5,39,56,0.7,12.6
Way 3 06 Top,No,NA,56,HRC,6,Soil,0-5 cm,28-Feb-23,18-Apr-23,0.246,12.8,1254.4,No,317411,6.7,6.8,0.2,1.86,,264,97,18.9,2,41,57,0.5,12.6
Way 3 15 Top,No,NA,57,HRC,15,Soil,0-5 cm,28-Feb-23,18-Apr-23,0.25,8.08,791.84,Yes,317413,7.1,7,0.19,1.38,,291,80,22.1,2,42,56,1,12.3
Way 4 06 Top,No,NA,58,HRA,6,Soil,0-5 cm,28-Feb-23,19-Apr-23,0.242,17.3,1695.4,No,317415,6.8,7,0.17,1.28,,228,49,34.4,5,51,44,0.3,9.6
Way 4 15 Top,No,NA,59,HRA,15,Soil,0-5 cm,28-Feb-23,19-Apr-23,0.244,13.2,1293.6,No,317417,6.8,7,0.16,1.1,,194,46,29.1,10,54,36,0.3,9
Way 4 26 Top,No,NA,60,HRA,26,Soil,0-5 cm,28-Feb-23,19-Apr-23,0.239,12.7,1244.6,No,317419,7.2,7.2,0.12,0.31,,180,33,28.3,10,56,34,0.4,5
38 Bottom,No,NA,61,RGW,38,Soil,10-15 cm,22-Feb-23,19-Apr-23,0.26,3.46,339.08,Yes,317407,5.3,6.1,0.18,1.34,,284,64,27.7,9,36,55,0.5,16.6
38 Top,No,NA,61,RGW,38,Soil,0-5 cm,22-Feb-23,19-Apr-23,0.249,9.4,921.2,Yes,317407,5.3,6.1,0.18,1.34,,284,64,27.7,9,36,55,0.5,16.6
38 W,No,NA,63,RGW,38,Water,NA,22-Feb-23,19-Apr-23,0.368,2.55,249.9,Yes,,,,,,,,,,,,,,
Way 3 05 Bottom,No,NA,64,HRC,5,Soil,10-15 cm,28-Feb-23,19-Apr-23,0.263,7.83,767.34,Yes,317409,7.1,7,0.25,2.06,,252,81,23.8,5,39,56,0.7,12.6
Way 3 06 Bottom,No,NA,65,HRC,6,Soil,10-15 cm,28-Feb-23,19-Apr-23,0.256,8.06,789.88,Yes,317411,6.7,6.8,0.2,1.86,,264,97,18.9,2,41,57,0.5,12.6
Way 3 15 Bottom,No,NA,66,HRC,15,Soil,10-15 cm,28-Feb-23,19-Apr-23,0.247,5.7,558.6,Yes,317413,7.1,7,0.19,1.38,,291,80,22.1,2,42,56,1,12.3
Way 4 06 Bottom,No,NA,67,HRA,6,Soil,10-15 cm,28-Feb-23,19-Apr-23,0.247,7.56,740.88,Yes,317415,6.8,7,0.17,1.28,,228,49,34.4,5,51,44,0.3,9.6
Way 4 15 Bottom,No,NA,68,HRA,15,Soil,10-15 cm,28-Feb-23,19-Apr-23,0.251,5.89,577.22,Yes,317417,6.8,7,0.16,1.1,,194,46,29.1,10,54,36,0.3,9
Way 4 26 Bottom,No,NA,69,HRA,26,Soil,10-15 cm,28-Feb-23,19-Apr-23,0.257,4.48,439.04,Yes,317419,7.2,7.2,0.12,0.31,,180,33,28.3,10,56,34,0.4,5
36 Top,No,NA,70,RGW,36,Soil,0-5 cm,22-Feb-23,19-Apr-23,0.252,5.66,554.68,Yes,317405,5.3,6.1,0.15,0.61,,322,53,20.5,7,35,58,0.5,9.4
36 Bottom,No,NA,71,RGW,36,Soil,10-15 cm,22-Feb-23,19-Apr-23,0.249,3.5,343,Yes,317405,5.3,6.1,0.15,0.61,,322,53,20.5,7,35,58,0.5,9.4
36 W,No,NA,72,RGW,36,Water,NA,22-Feb-23,19-Apr-23,0.423,2.46,241.08,Yes,,,,,,,,,,,,,,
Way 3 05 W,No,NA,73,HRC,5,Water,NA,28-Feb-23,19-Apr-23,0.399,1.77,173.46,Yes,,,,,,,,,,,,,,
Way 3 06 W,No,NA,74,HRC,6,Water,NA,28-Feb-23,19-Apr-23,0.38,2.47,242.06,Yes,,,,,,,,,,,,,,
Way 3 15 W,No,NA,75,HRC,15,Water,NA,28-Feb-23,19-Apr-23,0.413,2.21,216.58,Yes,,,,,,,,,,,,,,
Way 4 06 W,No,NA,76,HRA,6,Water,NA,28-Feb-23,19-Apr-23,0.44,2.42,237.16,Yes,,,,,,,,,,,,,,
Way 4 15 W ,No,NA,77,HRA,15,Water,NA,28-Feb-23,19-Apr-23,0.367,2.35,230.3,Yes,,,,,,,,,,,,,,
Way 4 26 W,No,NA,78,HRA,26,Water,NA,28-Feb-23,19-Apr-23,0.37,1.78,174.44,Yes,,,,,,,,,,,,,,
33 Top,Yes,A,79,RGW,33,Soil,0-5 cm,22-Feb-23,19-Apr-23,0.246,5,490,Yes,317402,5.7,6.5,0.17,1.31,,255,49,28.8,5,44,51,0.9,10.7
33 Top,Yes,B,80,RGW,33,,,22-Feb-23,No,,,,,317402,5.7,6.5,0.17,1.31,,255,49,28.8,5,44,51,0.9,10.7
33 W,No,NA,81,RGW,33,Water,NA,22-Feb-23,19-Apr-23,0.387,1.57,153.86,Yes,,,,,,,,,,,,,,
RGB-D1-D1,No,NA,Box 2,RGB,D1,Soil,0-5 cm,26-Jan-23,17-Apr-23,0.247,2.18,213.64,Yes,312679,7.5,7,0.19,2.5,4.9,200,112,3.3,13,22,65,1.7,24.3
RGB-D1-D2,No,NA,Box 2,RGB,D1,Soil,10-15 cm,26-Jan-23,17-Apr-23,0.25,2.97,291.06,Yes,312679,7.5,7,0.19,2.5,4.9,200,112,3.3,13,22,65,1.7,24.3
RGB-E1-D1,No,NA,Box 2,RGB,E1,Soil,0-5 cm,26-Jan-23,17-Apr-23,0.248,2.18,213.64,Yes,312682,7.5,7.1,0.16,2.09,3.7,176,114,6.2,8,16,76,0.6,20.7
RGB-E1-D2,No,NA,Box 2,RGB,E1,Soil,10-15 cm,26-Jan-23,17-Apr-23,0.249,2.85,279.3,Yes,312682,7.5,7.1,0.16,2.09,3.7,176,114,6.2,8,16,76,0.6,20.7
RGO-C7-D1,No,NA,Box 2,RGO,C7,Soil,0-5 cm,26-Jan-23,17-Apr-23,0.23,6.78,664.44,Yes,312681,6.6,6.9,0.12,1.33,3.2,111,29,0,16,56,28,0.7,3.5
RGO-C7-D2,No,NA,Box 2,RGO,C7,Soil,10-15 cm,26-Jan-23,17-Apr-23,0.231,7.01,686.98,Yes,312681,6.6,6.9,0.12,1.33,3.2,111,29,0,16,56,28,0.7,3.5
RGO-C8-D1,No,NA,Box 2,RGO,C8,Soil,0-5 cm,26-Jan-23,17-Apr-23,0.241,6.14,601.72,Yes,312680,6.5,6.8,0.18,2.07,3.7,104,38,7.6,19,54,27,1.1,6.3
RGO-C8-D2,No,NA,Box 2,RGO,C8,Soil,10-15 cm,26-Jan-23,17-Apr-23,0.25,8.57,839.86,Yes,312680,6.5,6.8,0.18,2.07,3.7,104,38,7.6,19,54,27,1.1,6.3
Con 1,No,NA,NA,NA,NA,Blank control,NA,NA,17-Apr-23,NA,1.54,150.92,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Con 2,No,NA,NA,NA,NA,Blank control,NA,NA,18-Apr-23,NA,1.87,183.26,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Con 3,No,NA,NA,NA,NA,Blank control,NA,NA,19-Apr-23,NA,1.76,172.48,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
